county,countyfips,year,age,population,migrationrate,netmigration
Boulder,13,2000,20_24,17253,70.5,12167
Boulder,13,2000,25_29,20324,0.2,44
Boulder,13,2000,30_34,26208,-26.3,-6900
Boulder,13,2000,35_39,22370,-9.4,-2123
Boulder,13,2000,40_44,21402,-2.9,-637
Boulder,13,2000,45_49,22756,-3.2,-733
Boulder,13,2000,50_54,23829,-6.2,-1483
Boulder,13,2000,55_59,21749,-9.5,-2086
Boulder,13,2000,60_64,17032,-9.6,-1647
Boulder,13,2000,65_69,10664,-7.3,-783
Boulder,13,2000,70_74,6800,-1.7,-116
Boulder,13,2010,00_04,13157.2,4.88,642
Boulder,13,2010,05_09,14682,12.7,1865
Boulder,13,2010,10_14,17269.43,11.83,2043
Boulder,13,2010,15_19,18455.09,43.83,8089
Boulder,13,2010,20_24,17631.04,86.28,15212
Boulder,13,2010,25_29,22338.71,7.55,1687
Boulder,13,2010,30_34,28777.13,-22.91,-6594
Boulder,13,2010,35_39,20084.76,4.83,970
Boulder,13,2010,40_44,19128.47,9.08,1738
Boulder,13,2010,45_49,19942.25,6.72,1340
